State,Population (Total),Population (M),Population (F)
Andaman and Nicobar,380581,202871,177710
Andhra Pradesh,49386799,24738068,24648731
Arunachal Pradesh,1383727,713912,669815
Assam,31205576,15939443,15266133
Bihar,104099452,54278157,49821295
Chandigarh,1055450,580663,474787
Chhattisgarh,25545198,12832895,12712303
Dadra & Nagar Haveli,343709,193760,149949
Delhi,16787941,8987326,7800615
Diu and Daman,243247,150301,92946
Goa,1458545,739140,719405
Gujarat,60439692,31491260,28948432
Haryana,25351462,13494734,11856728
Himachal Pradesh,6864602,3481873,3382729
Jammu and Kashmir,12267013,6483906,5783107
Jharkhand,32988134,16930315,16057819
Karnataka,61095297,30966657,30128640
Kerala,33470534,16060535,17409999
Ladakh,274289,156756,117533
Madhya Pradesh,72626809,37612306,35014503
Maharashtra,112374333,58243056,54131277
Manipur,2855794,1438586,1417208
Meghalaya,2571765,1295547,1276218
Mizoram,1097206,555339,541867
Nagaland,1978502,1024649,953853
Orissa,41974218,21212136,20762082
Pondicherry,1247953,612511,635442
Punjab,27743338,14639465,13103873
Rajasthan,68548437,35550997,32997440
Sikkim,610577,323070,287507
Tamil Nadu,72147030,36137975,36009055
Telangana,35003674,17611633,17392041
Tripura,3673917,1874376,1799541
Uttar Pradesh,199812341,104480510,95331831
Uttarakhand,10086292,5137773,4948519
West Bengal,91276115,46809027,44467088
